Organism,Assembly_accession,label,protein_kofam
Flexistipes sinusarabici DSM 4947,GCF_000218625.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000218625.1.faa
Thermotoga maritima,GCF_000230655.2,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000230655.2.faa
Marinobacter hydrocarbonoclasticus ATCC 49840,GCF_000284615.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000284615.1.faa
Nitrolancea hollandica,GCF_000297255.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000297255.1.faa
Cycloclasticus sp. P1,GCF_000299965.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000299965.1.faa
Cycloclasticus pugetii PS‐1,GCF_000384415.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000384415.1.faa
Pseudomonas taiwanensis DSM 21245,GCF_000425785.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000425785.1.faa
Chrysiogenes arsenatis,GCF_000469585.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000469585.1.faa
Mesoaciditoga lauensis,GCF_000745455.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000745455.1.faa
Burkholderia xenovorans LB400,GCF_000756045.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000756045.1.faa
Oleispira antarctica RB-8,GCF_000967895.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000967895.1.faa
Rubrobacter aplysinae,GCF_001029505.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_001029505.1.faa
Ardenticatena maritima,GCF_001293545.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_001293545.1.faa
Thermosulfidibacter takaii,GCF_001547735.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_001547735.1.faa
 Acetivibrio saccincola,GCF_002844395.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_002844395.1.faa
Pseudomonas paucimobilis ,GCF_003314795.2,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_003314795.2.faa
Capsulimonas corticalis,GCF_003574315.2,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_003574315.2.faa
Athalassotoga saccharophila,GCF_009936215.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_009936215.1.faa
Bacillus subtilis 168,GCF_012931705.2,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_012931705.2.faa
Persephonella atlantica,GCF_016617615.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_016617615.1.faa
Mycobacterium sp. JS14,GCF_022374875.2,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_022374875.2.faa
Acidithiobacillus acidisediminis,GCF_023277115.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_023277115.1.faa
Venenivibrio stagnispumantis,GCF_026108055.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_026108055.1.faa
Pseudomonas aeruginosa,GCF_036321435.2,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_036321435.2.faa
Alcaligenes denitrificans ,GCF_039565655.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_039565655.1.faa
Bacillus cereus ATCC 14579,GCF_045287585.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_045287585.1.faa
Minisyncoccus archaeiphilus,GCF_047159735.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_047159735.1.faa
Parelusimicrobium proximum,GCF_050389785.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_050389785.1.faa
Oceanithermus desulfurans,GCF_054032935.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_054032935.1.faa
Aquifex pyrophilus,GCF_054656935.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_054656935.1.faa
Defluviitoga tunisiensis,GCF_055391325.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_055391325.1.faa
Burkholderia cocovenenans ,GCF_058448765.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_058448765.1.faa
Zhurongbacter thermophilus,GCF_059089525.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_059089525.1.faa
Aggregicoccus edonensis,GCF_060490275.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_060490275.1.faa
Burkholderia sp. RP007,GCF_900107685.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_900107685.1.faa
Mycobacterium flavescens ,GCF_900637135.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_900637135.1.faa
Pseudomonas saccharophilia ,GCF_965138605.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_965138605.1.faa
Sphingomonas sp. ,GCF_988142605.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_988142605.1.faa
